seed_spec	current_label	current_score	benchmark_label	benchmark_score	delta_current_minus_benchmark	ratio_current_over_benchmark	current_log	benchmark_log
1,1000	iter14b_no_second_density_scale	149292.578124	random_1000	206006.000000	-56713.4	0.7247	benchmarks/20260625T090401Z_iter14b_no_second_density_scale/run_1_1000.log	benchmarks/20260624T161439Z_random_1000/run_1_1000.log
1,1000	iter14b_no_second_density_scale	149292.578124	iter1_1000	175604.000000	-26311.4	0.850166	benchmarks/20260625T090401Z_iter14b_no_second_density_scale/run_1_1000.log	benchmarks/20260624T161442Z_iter1_1000/run_1_1000.log
1,1000	iter14b_no_second_density_scale	149292.578124	iter2_hit_compatible_heatmap_reference	172466.000000	-23173.4	0.865635	benchmarks/20260625T090401Z_iter14b_no_second_density_scale/run_1_1000.log	benchmarks/20260624T162004Z_iter2_hit_compatible_heatmap/run_1_1000.log
1,1000	iter14b_no_second_density_scale	149292.578124	iter3_kill_segment_reference	168720.000000	-19427.4	0.884854	benchmarks/20260625T090401Z_iter14b_no_second_density_scale/run_1_1000.log	benchmarks/20260624T162346Z_iter3_kill_segment_inference/run_1_1000.log
1,1000	iter14b_no_second_density_scale	149292.578124	iter4_hit_required_heatmap_reference	167001.000000	-17708.4	0.893962	benchmarks/20260625T090401Z_iter14b_no_second_density_scale/run_1_1000.log	benchmarks/20260624T164439Z_iter4_hit_required_heatmap/run_1_1000.log
1,1000	iter14b_no_second_density_scale	149292.578124	iter5_single_hit_damped_chase_reference	166948.000000	-17655.4	0.894246	benchmarks/20260625T090401Z_iter14b_no_second_density_scale/run_1_1000.log	benchmarks/20260624T165229Z_iter5_single_hit_damped_chase/run_1_1000.log
1,1000	iter14b_no_second_density_scale	149292.578124	iter6_normalized_hunt_heatmap_reference	166703.000000	-17410.4	0.89556	benchmarks/20260625T090401Z_iter14b_no_second_density_scale/run_1_1000.log	benchmarks/20260624T165518Z_iter6_normalized_hunt_heatmap/run_1_1000.log
1,1000	iter14b_no_second_density_scale	149292.578124	iter7_blended_heatmap_a50_reference	165996.000000	-16703.4	0.899375	benchmarks/20260625T090401Z_iter14b_no_second_density_scale/run_1_1000.log	benchmarks/20260624T165925Z_iter7_blended_heatmap_a50/run_1_1000.log
1,1000	iter14b_no_second_density_scale	149292.578124	iter8_tuned_constants_reference	165398.000000	-16105.4	0.902626	benchmarks/20260625T090401Z_iter14b_no_second_density_scale/run_1_1000.log	benchmarks/20260624T171515Z_tune_s2_a0p60_sh0p50_cb0p0000/run_1_1000.log
1,1000	iter14b_no_second_density_scale	149292.578124	iter8_scan_density_heatmap_reference	165350.718049	-16058.1	0.902884	benchmarks/20260625T090401Z_iter14b_no_second_density_scale/run_1_1000.log	benchmarks/20260625T011652Z_iter8_scan_density_heatmap/run_1_1000.log
1,1000	iter14b_no_second_density_scale	149292.578124	iter9_scan_gate_p030_reference	162152.762637	-12860.2	0.920691	benchmarks/20260625T090401Z_iter14b_no_second_density_scale/run_1_1000.log	benchmarks/20260625T013305Z_iter9_scan_gate_p030/run_1_1000.log
1,1000	iter14b_no_second_density_scale	149292.578124	iter10_scan_threshold_p050_reference	157848.628917	-8556.05	0.945796	benchmarks/20260625T090401Z_iter14b_no_second_density_scale/run_1_1000.log	benchmarks/20260625T025301Z_scanthr_s1_p0p50/run_1_1000.log
1,1000	iter14b_no_second_density_scale	149292.578124	iter11_scan_threshold_p100_reference	152535.906257	-3243.33	0.978737	benchmarks/20260625T090401Z_iter14b_no_second_density_scale/run_1_1000.log	benchmarks/20260625T030041Z_scanthr_hi_s1_p1p00/run_1_1000.log
1,1000	iter14b_no_second_density_scale	149292.578124	iter12_conditional_scan_policy_p050_reference	152216.578124	-2924	0.980791	benchmarks/20260625T090401Z_iter14b_no_second_density_scale/run_1_1000.log	benchmarks/20260625T063453Z_iter12_conditional_scan_policy_p050/run_1_1000.log
1,1000	iter14b_no_second_density_scale	149292.578124	iter13_scan_weighted_heatmap_reference	148363.578124	929	1.00626	benchmarks/20260625T090401Z_iter14b_no_second_density_scale/run_1_1000.log	benchmarks/20260625T083623Z_iter13_scan_weighted_heatmap/run_1_1000.log
