seed_spec	current_label	current_score	benchmark_label	benchmark_score	delta_current_minus_benchmark	ratio_current_over_benchmark	current_log	benchmark_log
1,1000	iter14c_sqrt_density_scale	147947.578124	random_1000	206006.000000	-58058.4	0.718171	benchmarks/20260625T090619Z_iter14c_sqrt_density_scale/run_1_1000.log	benchmarks/20260624T161439Z_random_1000/run_1_1000.log
1,1000	iter14c_sqrt_density_scale	147947.578124	iter1_1000	175604.000000	-27656.4	0.842507	benchmarks/20260625T090619Z_iter14c_sqrt_density_scale/run_1_1000.log	benchmarks/20260624T161442Z_iter1_1000/run_1_1000.log
1,1000	iter14c_sqrt_density_scale	147947.578124	iter2_hit_compatible_heatmap_reference	172466.000000	-24518.4	0.857836	benchmarks/20260625T090619Z_iter14c_sqrt_density_scale/run_1_1000.log	benchmarks/20260624T162004Z_iter2_hit_compatible_heatmap/run_1_1000.log
1,1000	iter14c_sqrt_density_scale	147947.578124	iter3_kill_segment_reference	168720.000000	-20772.4	0.876882	benchmarks/20260625T090619Z_iter14c_sqrt_density_scale/run_1_1000.log	benchmarks/20260624T162346Z_iter3_kill_segment_inference/run_1_1000.log
1,1000	iter14c_sqrt_density_scale	147947.578124	iter4_hit_required_heatmap_reference	167001.000000	-19053.4	0.885908	benchmarks/20260625T090619Z_iter14c_sqrt_density_scale/run_1_1000.log	benchmarks/20260624T164439Z_iter4_hit_required_heatmap/run_1_1000.log
1,1000	iter14c_sqrt_density_scale	147947.578124	iter5_single_hit_damped_chase_reference	166948.000000	-19000.4	0.88619	benchmarks/20260625T090619Z_iter14c_sqrt_density_scale/run_1_1000.log	benchmarks/20260624T165229Z_iter5_single_hit_damped_chase/run_1_1000.log
1,1000	iter14c_sqrt_density_scale	147947.578124	iter6_normalized_hunt_heatmap_reference	166703.000000	-18755.4	0.887492	benchmarks/20260625T090619Z_iter14c_sqrt_density_scale/run_1_1000.log	benchmarks/20260624T165518Z_iter6_normalized_hunt_heatmap/run_1_1000.log
1,1000	iter14c_sqrt_density_scale	147947.578124	iter7_blended_heatmap_a50_reference	165996.000000	-18048.4	0.891272	benchmarks/20260625T090619Z_iter14c_sqrt_density_scale/run_1_1000.log	benchmarks/20260624T165925Z_iter7_blended_heatmap_a50/run_1_1000.log
1,1000	iter14c_sqrt_density_scale	147947.578124	iter8_tuned_constants_reference	165398.000000	-17450.4	0.894494	benchmarks/20260625T090619Z_iter14c_sqrt_density_scale/run_1_1000.log	benchmarks/20260624T171515Z_tune_s2_a0p60_sh0p50_cb0p0000/run_1_1000.log
1,1000	iter14c_sqrt_density_scale	147947.578124	iter8_scan_density_heatmap_reference	165350.718049	-17403.1	0.89475	benchmarks/20260625T090619Z_iter14c_sqrt_density_scale/run_1_1000.log	benchmarks/20260625T011652Z_iter8_scan_density_heatmap/run_1_1000.log
1,1000	iter14c_sqrt_density_scale	147947.578124	iter9_scan_gate_p030_reference	162152.762637	-14205.2	0.912396	benchmarks/20260625T090619Z_iter14c_sqrt_density_scale/run_1_1000.log	benchmarks/20260625T013305Z_iter9_scan_gate_p030/run_1_1000.log
1,1000	iter14c_sqrt_density_scale	147947.578124	iter10_scan_threshold_p050_reference	157848.628917	-9901.05	0.937275	benchmarks/20260625T090619Z_iter14c_sqrt_density_scale/run_1_1000.log	benchmarks/20260625T025301Z_scanthr_s1_p0p50/run_1_1000.log
1,1000	iter14c_sqrt_density_scale	147947.578124	iter11_scan_threshold_p100_reference	152535.906257	-4588.33	0.96992	benchmarks/20260625T090619Z_iter14c_sqrt_density_scale/run_1_1000.log	benchmarks/20260625T030041Z_scanthr_hi_s1_p1p00/run_1_1000.log
1,1000	iter14c_sqrt_density_scale	147947.578124	iter12_conditional_scan_policy_p050_reference	152216.578124	-4269	0.971954	benchmarks/20260625T090619Z_iter14c_sqrt_density_scale/run_1_1000.log	benchmarks/20260625T063453Z_iter12_conditional_scan_policy_p050/run_1_1000.log
1,1000	iter14c_sqrt_density_scale	147947.578124	iter13_scan_weighted_heatmap_reference	148363.578124	-416	0.997196	benchmarks/20260625T090619Z_iter14c_sqrt_density_scale/run_1_1000.log	benchmarks/20260625T083623Z_iter13_scan_weighted_heatmap/run_1_1000.log
