seed_spec	current_label	current_score	benchmark_label	benchmark_score	delta_current_minus_benchmark	ratio_current_over_benchmark	current_log	benchmark_log
1,1000	iter14d_scan_weight_overlap_sqrt_len	148123.578124	random_1000	206006.000000	-57882.4	0.719026	benchmarks/20260625T092052Z_iter14d_scan_weight_overlap_sqrt_len/run_1_1000.log	benchmarks/20260624T161439Z_random_1000/run_1_1000.log
1,1000	iter14d_scan_weight_overlap_sqrt_len	148123.578124	iter1_1000	175604.000000	-27480.4	0.843509	benchmarks/20260625T092052Z_iter14d_scan_weight_overlap_sqrt_len/run_1_1000.log	benchmarks/20260624T161442Z_iter1_1000/run_1_1000.log
1,1000	iter14d_scan_weight_overlap_sqrt_len	148123.578124	iter2_hit_compatible_heatmap_reference	172466.000000	-24342.4	0.858857	benchmarks/20260625T092052Z_iter14d_scan_weight_overlap_sqrt_len/run_1_1000.log	benchmarks/20260624T162004Z_iter2_hit_compatible_heatmap/run_1_1000.log
1,1000	iter14d_scan_weight_overlap_sqrt_len	148123.578124	iter3_kill_segment_reference	168720.000000	-20596.4	0.877925	benchmarks/20260625T092052Z_iter14d_scan_weight_overlap_sqrt_len/run_1_1000.log	benchmarks/20260624T162346Z_iter3_kill_segment_inference/run_1_1000.log
1,1000	iter14d_scan_weight_overlap_sqrt_len	148123.578124	iter4_hit_required_heatmap_reference	167001.000000	-18877.4	0.886962	benchmarks/20260625T092052Z_iter14d_scan_weight_overlap_sqrt_len/run_1_1000.log	benchmarks/20260624T164439Z_iter4_hit_required_heatmap/run_1_1000.log
1,1000	iter14d_scan_weight_overlap_sqrt_len	148123.578124	iter5_single_hit_damped_chase_reference	166948.000000	-18824.4	0.887244	benchmarks/20260625T092052Z_iter14d_scan_weight_overlap_sqrt_len/run_1_1000.log	benchmarks/20260624T165229Z_iter5_single_hit_damped_chase/run_1_1000.log
1,1000	iter14d_scan_weight_overlap_sqrt_len	148123.578124	iter6_normalized_hunt_heatmap_reference	166703.000000	-18579.4	0.888548	benchmarks/20260625T092052Z_iter14d_scan_weight_overlap_sqrt_len/run_1_1000.log	benchmarks/20260624T165518Z_iter6_normalized_hunt_heatmap/run_1_1000.log
1,1000	iter14d_scan_weight_overlap_sqrt_len	148123.578124	iter7_blended_heatmap_a50_reference	165996.000000	-17872.4	0.892332	benchmarks/20260625T092052Z_iter14d_scan_weight_overlap_sqrt_len/run_1_1000.log	benchmarks/20260624T165925Z_iter7_blended_heatmap_a50/run_1_1000.log
1,1000	iter14d_scan_weight_overlap_sqrt_len	148123.578124	iter8_tuned_constants_reference	165398.000000	-17274.4	0.895558	benchmarks/20260625T092052Z_iter14d_scan_weight_overlap_sqrt_len/run_1_1000.log	benchmarks/20260624T171515Z_tune_s2_a0p60_sh0p50_cb0p0000/run_1_1000.log
1,1000	iter14d_scan_weight_overlap_sqrt_len	148123.578124	iter8_scan_density_heatmap_reference	165350.718049	-17227.1	0.895815	benchmarks/20260625T092052Z_iter14d_scan_weight_overlap_sqrt_len/run_1_1000.log	benchmarks/20260625T011652Z_iter8_scan_density_heatmap/run_1_1000.log
1,1000	iter14d_scan_weight_overlap_sqrt_len	148123.578124	iter9_scan_gate_p030_reference	162152.762637	-14029.2	0.913482	benchmarks/20260625T092052Z_iter14d_scan_weight_overlap_sqrt_len/run_1_1000.log	benchmarks/20260625T013305Z_iter9_scan_gate_p030/run_1_1000.log
1,1000	iter14d_scan_weight_overlap_sqrt_len	148123.578124	iter10_scan_threshold_p050_reference	157848.628917	-9725.05	0.93839	benchmarks/20260625T092052Z_iter14d_scan_weight_overlap_sqrt_len/run_1_1000.log	benchmarks/20260625T025301Z_scanthr_s1_p0p50/run_1_1000.log
1,1000	iter14d_scan_weight_overlap_sqrt_len	148123.578124	iter11_scan_threshold_p100_reference	152535.906257	-4412.33	0.971074	benchmarks/20260625T092052Z_iter14d_scan_weight_overlap_sqrt_len/run_1_1000.log	benchmarks/20260625T030041Z_scanthr_hi_s1_p1p00/run_1_1000.log
1,1000	iter14d_scan_weight_overlap_sqrt_len	148123.578124	iter12_conditional_scan_policy_p050_reference	152216.578124	-4093	0.973111	benchmarks/20260625T092052Z_iter14d_scan_weight_overlap_sqrt_len/run_1_1000.log	benchmarks/20260625T063453Z_iter12_conditional_scan_policy_p050/run_1_1000.log
1,1000	iter14d_scan_weight_overlap_sqrt_len	148123.578124	iter13_scan_weighted_heatmap_reference	148363.578124	-240	0.998382	benchmarks/20260625T092052Z_iter14d_scan_weight_overlap_sqrt_len/run_1_1000.log	benchmarks/20260625T083623Z_iter13_scan_weighted_heatmap/run_1_1000.log
