seed_spec	current_label	current_score	benchmark_label	benchmark_score	delta_current_minus_benchmark	ratio_current_over_benchmark	current_log	benchmark_log
1,1000	iter14e_scan_weight_sqrt_overlap	146714.578124	random_1000	206006.000000	-59291.4	0.712186	benchmarks/20260625T092310Z_iter14e_scan_weight_sqrt_overlap/run_1_1000.log	benchmarks/20260624T161439Z_random_1000/run_1_1000.log
1,1000	iter14e_scan_weight_sqrt_overlap	146714.578124	iter1_1000	175604.000000	-28889.4	0.835485	benchmarks/20260625T092310Z_iter14e_scan_weight_sqrt_overlap/run_1_1000.log	benchmarks/20260624T161442Z_iter1_1000/run_1_1000.log
1,1000	iter14e_scan_weight_sqrt_overlap	146714.578124	iter2_hit_compatible_heatmap_reference	172466.000000	-25751.4	0.850687	benchmarks/20260625T092310Z_iter14e_scan_weight_sqrt_overlap/run_1_1000.log	benchmarks/20260624T162004Z_iter2_hit_compatible_heatmap/run_1_1000.log
1,1000	iter14e_scan_weight_sqrt_overlap	146714.578124	iter3_kill_segment_reference	168720.000000	-22005.4	0.869574	benchmarks/20260625T092310Z_iter14e_scan_weight_sqrt_overlap/run_1_1000.log	benchmarks/20260624T162346Z_iter3_kill_segment_inference/run_1_1000.log
1,1000	iter14e_scan_weight_sqrt_overlap	146714.578124	iter4_hit_required_heatmap_reference	167001.000000	-20286.4	0.878525	benchmarks/20260625T092310Z_iter14e_scan_weight_sqrt_overlap/run_1_1000.log	benchmarks/20260624T164439Z_iter4_hit_required_heatmap/run_1_1000.log
1,1000	iter14e_scan_weight_sqrt_overlap	146714.578124	iter5_single_hit_damped_chase_reference	166948.000000	-20233.4	0.878804	benchmarks/20260625T092310Z_iter14e_scan_weight_sqrt_overlap/run_1_1000.log	benchmarks/20260624T165229Z_iter5_single_hit_damped_chase/run_1_1000.log
1,1000	iter14e_scan_weight_sqrt_overlap	146714.578124	iter6_normalized_hunt_heatmap_reference	166703.000000	-19988.4	0.880096	benchmarks/20260625T092310Z_iter14e_scan_weight_sqrt_overlap/run_1_1000.log	benchmarks/20260624T165518Z_iter6_normalized_hunt_heatmap/run_1_1000.log
1,1000	iter14e_scan_weight_sqrt_overlap	146714.578124	iter7_blended_heatmap_a50_reference	165996.000000	-19281.4	0.883844	benchmarks/20260625T092310Z_iter14e_scan_weight_sqrt_overlap/run_1_1000.log	benchmarks/20260624T165925Z_iter7_blended_heatmap_a50/run_1_1000.log
1,1000	iter14e_scan_weight_sqrt_overlap	146714.578124	iter8_tuned_constants_reference	165398.000000	-18683.4	0.88704	benchmarks/20260625T092310Z_iter14e_scan_weight_sqrt_overlap/run_1_1000.log	benchmarks/20260624T171515Z_tune_s2_a0p60_sh0p50_cb0p0000/run_1_1000.log
1,1000	iter14e_scan_weight_sqrt_overlap	146714.578124	iter8_scan_density_heatmap_reference	165350.718049	-18636.1	0.887293	benchmarks/20260625T092310Z_iter14e_scan_weight_sqrt_overlap/run_1_1000.log	benchmarks/20260625T011652Z_iter8_scan_density_heatmap/run_1_1000.log
1,1000	iter14e_scan_weight_sqrt_overlap	146714.578124	iter9_scan_gate_p030_reference	162152.762637	-15438.2	0.904792	benchmarks/20260625T092310Z_iter14e_scan_weight_sqrt_overlap/run_1_1000.log	benchmarks/20260625T013305Z_iter9_scan_gate_p030/run_1_1000.log
1,1000	iter14e_scan_weight_sqrt_overlap	146714.578124	iter10_scan_threshold_p050_reference	157848.628917	-11134.1	0.929464	benchmarks/20260625T092310Z_iter14e_scan_weight_sqrt_overlap/run_1_1000.log	benchmarks/20260625T025301Z_scanthr_s1_p0p50/run_1_1000.log
1,1000	iter14e_scan_weight_sqrt_overlap	146714.578124	iter11_scan_threshold_p100_reference	152535.906257	-5821.33	0.961836	benchmarks/20260625T092310Z_iter14e_scan_weight_sqrt_overlap/run_1_1000.log	benchmarks/20260625T030041Z_scanthr_hi_s1_p1p00/run_1_1000.log
1,1000	iter14e_scan_weight_sqrt_overlap	146714.578124	iter12_conditional_scan_policy_p050_reference	152216.578124	-5502	0.963854	benchmarks/20260625T092310Z_iter14e_scan_weight_sqrt_overlap/run_1_1000.log	benchmarks/20260625T063453Z_iter12_conditional_scan_policy_p050/run_1_1000.log
1,1000	iter14e_scan_weight_sqrt_overlap	146714.578124	iter13_scan_weighted_heatmap_reference	148363.578124	-1649	0.988885	benchmarks/20260625T092310Z_iter14e_scan_weight_sqrt_overlap/run_1_1000.log	benchmarks/20260625T083623Z_iter13_scan_weighted_heatmap/run_1_1000.log
