improvement	new_delta	loss_kept	win_kept	kept	predicate
+1059.000	-899.000	0	0	38	states<=78
+979.000	-819.000	0	0	36	states<=65
+962.000	-802.000	0	0	39	states<=85
+902.000	-742.000	0	0	29	states<=53
+893.000	-733.000	0	0	31	states<=59
+887.000	-727.000	0	0	37	states<=70
+868.000	-708.000	0	0	15	beam_minus_heat_norm<=-0.883233
+849.000	-689.000	0	0	40	states<=94
+813.000	-653.000	0	0	28	states<=46
+812.000	-652.000	0	0	30	states<=55
+798.000	-638.000	0	0	34	states<=62
+795.000	-635.000	0	0	22	states<=23
+782.000	-622.000	0	0	32	states<=60
+767.000	-607.000	0	0	14	beam_minus_heat_norm<=-0.923839
+758.000	-598.000	0	0	16	beam_minus_heat_norm<=-0.878115
+752.000	-592.000	0	0	41	states<=117
+747.000	-587.000	0	0	43	states<=120
+741.000	-581.000	0	0	45	states<=143
+726.000	-566.000	0	0	47	states<=172
+712.000	-552.000	0	0	25	states<=40
+695.000	-535.000	0	0	21	beam_minus_heat_norm<=-0.772134
+689.000	-529.000	0	0	11	heat_gap>=0.085544
+686.000	-526.000	0	0	23	states<=26
+684.000	-524.000	0	0	13	heat_gap>=0.073637
+683.000	-523.000	0	0	13	beam_minus_heat_norm<=-0.958565
+661.000	-501.000	0	0	44	states<=127
+659.000	-499.000	0	0	17	heat_gap>=0.067103
+652.000	-492.000	0	0	14	states<=15
+651.000	-491.000	0	0	8	states<=12
+643.000	-483.000	0	0	42	states<=118
+638.000	-478.000	0	0	46	states<=169
+635.000	-475.000	0	0	43	beam_minus_heat_norm<=-0.092857
+615.000	-455.000	0	0	22	beam_minus_heat_norm<=-0.76074
+600.000	-440.000	0	0	27	n>=19
+599.000	-439.000	0	0	48	states<=177
+596.000	-436.000	0	0	11	states<=13
+593.000	-433.000	0	0	24	states<=30
+589.000	-429.000	0	0	18	heat_ratio>=1.04638
+588.000	-428.000	0	0	10	heat_gap>=0.085674
+580.000	-420.000	0	0	17	beam_minus_heat_norm<=-0.838723
+580.000	-420.000	0	0	12	heat_gap>=0.085421
+579.000	-419.000	0	0	18	heat_gap>=0.063029
+571.000	-411.000	0	0	16	heat_gap>=0.06929
+561.000	-401.000	0	0	12	beam_minus_heat_norm<=-0.992814
+558.000	-398.000	0	0	26	states<=43
+537.000	-377.000	0	0	48	beam_minus_heat_norm<=0.048419
+535.000	-375.000	0	0	46	beam_minus_heat_norm<=0.008231
+523.000	-363.000	0	0	20	beam_minus_heat_norm<=-0.815615
+518.000	-358.000	0	0	23	beam_minus_heat_norm<=-0.756048
+510.000	-350.000	0	0	20	remaining_cells>=36
+508.000	-348.000	0	0	19	heat_ratio<=1.00457
+506.000	-346.000	0	0	14	heat_gap>=0.072697
+494.000	-334.000	0	0	44	beam_minus_heat_norm<=-0.092232
+493.000	-333.000	0	0	24	remaining_cells>=35
+493.000	-333.000	0	0	15	states<=16
+491.000	-331.000	0	0	42	beam_minus_heat_norm<=-0.103899
+488.000	-328.000	0	0	7	states<=11
+486.000	-326.000	0	0	30	heat_ratio>=1.02263
+484.000	-324.000	0	0	19	heat_gap>=0.062092
+482.000	-322.000	0	0	17	states<=19
+480.000	-320.000	0	0	19	states<=20
+478.000	-318.000	0	0	17	heat_ratio>=1.04677
+469.000	-309.000	0	0	18	beam_minus_heat_norm<=-0.833149
+463.000	-303.000	0	0	11	beam_minus_heat_norm<=-1.05186
+449.000	-289.000	0	0	21	heat_ratio>=1.03968
+447.000	-287.000	0	0	18	remaining_cells>=37
+445.000	-285.000	0	0	42	n>=18
+435.000	-275.000	0	0	5	heat_gap>=0.165472
+434.000	-274.000	0	0	5	heat_ratio>=1.09613
+433.000	-273.000	0	0	12	remaining_cells<=26
+429.000	-269.000	0	0	7	heat_gap>=0.111055
+428.000	-268.000	0	0	24	beam_minus_heat_norm<=-0.659566
+427.000	-267.000	0	0	18	heat_ratio<=1.00417
+426.000	-266.000	0	0	47	beam_minus_heat_norm<=0.03464
+422.000	-262.000	0	0	20	heat_ratio<=1.00497
+422.000	-262.000	0	0	14	remaining_cells>=38
+420.000	-260.000	0	0	15	heat_gap>=0.071562
+418.000	-258.000	0	0	12	states<=14
+416.000	-256.000	0	0	9	heat_gap>=0.100243
+412.000	-252.000	0	0	35	heat_ratio>=1.01319
