predicate	sep	loss	win
states<=78	8	15	23
states<=65	8	14	22
states>=70	8	16	8
states>=85	8	15	7
beam_minus_heat_norm>=-0.878115	7	26	19
states<=85	7	16	23
states<=70	7	15	22
states>=55	7	19	12
states<=59	7	12	19
states<=53	7	11	18
states>=60	7	18	11
states>=78	7	15	8
states>=94	7	14	7
beam_minus_heat_norm<=-0.883233	7	4	11
beam_minus_heat_norm>=-0.883233	6	26	20
beam_minus_heat_norm>=-0.838723	6	25	19
states<=94	6	17	23
states>=26	6	22	16
states<=62	6	14	20
states>=53	6	19	13
states<=60	6	13	19
states<=55	6	12	18
states>=59	6	18	12
states<=46	6	11	17
states>=62	6	17	11
states>=65	6	16	10
states<=23	6	8	14
states>=117	6	13	7
beam_minus_heat_norm<=-0.878115	6	5	11
beam_minus_heat_norm<=-0.923839	6	4	10
heat_gap<=0.085421	5	27	22
states<=172	5	21	26
heat_gap<=0.072697	5	26	21
beam_minus_heat_norm>=-0.923839	5	26	21
states<=143	5	20	25
states<=120	5	19	24
heat_gap<=0.063029	5	24	19
beam_minus_heat_norm>=-0.833149	5	24	19
beam_minus_heat_norm<=-0.092857	5	19	24
states<=117	5	18	23
beam_minus_heat_norm>=-0.76074	5	22	17
states>=30	5	21	16
states>=43	5	20	15
n<=18	5	19	14
n>=19	5	11	16
states<=40	5	10	15
states<=26	5	9	14
beam_minus_heat_norm<=-0.772134	5	8	13
states>=118	5	12	7
states>=127	5	11	6
heat_gap>=0.067103	5	6	11
beam_minus_heat_norm<=-0.838723	5	6	11
beam_minus_heat_norm>=-0.092232	5	11	6
states>=169	5	10	5
states>=177	5	9	4
heat_gap>=0.073637	5	4	9
beam_minus_heat_norm<=-0.958565	5	4	9
heat_gap>=0.085544	5	3	8
states>=13	4	28	24
n>=17	4	23	27
heat_gap<=0.085544	4	27	23
states<=177	4	22	26
heat_gap<=0.073637	4	26	22
beam_minus_heat_norm>=-0.958565	4	26	22
beam_minus_heat_norm<=0.048419	4	22	26
states>=16	4	25	21
states<=169	4	21	25
remaining_cells<=37	4	25	21
heat_gap<=0.071562	4	25	21
beam_minus_heat_norm<=0.008231	4	21	25
states<=127	4	20	24
heat_gap<=0.067103	4	24	20
beam_minus_heat_norm<=-0.092232	4	20	24
states<=118	4	19	23
remaining_cells<=36	4	23	19
n>=18	4	19	23
heat_ratio<=1.04116	4	23	19
heat_gap<=0.062092	4	23	19
beam_minus_heat_norm>=-0.826209	4	23	19
beam_minus_heat_norm<=-0.103899	4	19	23
remaining_cells<=35	4	22	18
beam_minus_heat_norm>=-0.772134	4	22	18
beam_minus_heat_norm>=-0.756048	4	21	17
states>=40	4	20	16
remaining_cells<=34	4	20	16
states>=46	4	19	15
remaining_cells<=33	4	18	14
heat_ratio<=1.02073	4	17	13
heat_ratio>=1.02263	4	13	17
remaining_cells>=34	4	12	16
states<=43	4	11	15
states<=30	4	10	14
remaining_cells>=35	4	10	14
beam_minus_heat_norm<=-0.76074	4	9	13
remaining_cells>=36	4	8	12
beam_minus_heat_norm<=-0.815615	4	8	12
states>=120	4	11	7
remaining_cells>=37	4	7	11
n<=17	4	11	7
heat_ratio>=1.04638	4	7	11
