name	sep	purity	loss	win
iter21_chase_hits_num<=46	9	0.680	17	8
iter21_chase_hits_num>=48	9	0.629	13	22
iter21_chase_hits_num<=44	8	0.667	16	8
iter21_chase_hits_num<=48	8	0.654	17	9
iter21_chase_hits_num<=49	8	0.643	18	10
iter21_chase_hits_num<=50	8	0.633	19	11
iter21_chase_hits_num>=51	8	0.633	11	19
iter21_chase_hits_num>=50	8	0.625	12	20
iter21_chase_hits_num>=49	8	0.618	13	21
iter21_chase_hits_num>=46	8	0.611	14	22
p_bucket==p_0.15_0.25	7	0.889	8	1
p_num<=0.26366	7	0.818	9	2
iter21_chase_kills_num<=12	7	0.684	13	6
iter21_chase_hits_num<=43	7	0.652	15	8
iter21_chase_hits_num>=52	7	0.621	11	18
iter21_chase_hits_num<=51	7	0.613	19	12
iter21_chase_hits_num>=44	7	0.595	15	22
iter21_chase_kills_num>=13	7	0.585	17	24
p_num>=0.263719	7	0.571	21	28
turn==5	6	0.800	8	2
p_num<=0.248493	6	0.800	8	2
p_num<=0.263719	6	0.750	9	3
iter21_chase_hits_num<=30	6	0.750	9	3
iter21_chase_kills_num<=10	6	0.714	10	4
iter21_chase_len_num>=101	6	0.688	5	11
iter21_chase_len_num<=65	6	0.667	12	6
iter21_chase_len_num>=97	6	0.667	6	12
iter21_chase_kills_num<=11	6	0.667	12	6
iter21_chase_len_num<=67	6	0.650	13	7
iter21_chase_hits_num>=53	6	0.615	10	16
iter21_chase_hits_num<=52	6	0.588	20	14
iter21_chase_len_num>=73	6	0.575	17	23
iter21_chase_len_num>=67	6	0.571	18	24
iter21_chase_len_num<=95	6	0.571	24	18
iter21_chase_kills_num>=12	6	0.571	18	24
iter21_chase_len_num<=99	6	0.568	25	19
iter21_chase_kills_num>=11	6	0.565	20	26
p_num>=0.279147	6	0.562	21	27
iter21_chase_hits_num>=31	6	0.562	21	27
turn==3	6	0.560	22	28
p_num>=0.26366	6	0.560	22	28
p_num<=0.246647	5	0.778	7	2
iter21_chase_misses_num>=26	5	0.778	2	7
iter21_chase_kills_num>=21	5	0.778	2	7
iter21_chase_hits_num<=29	5	0.727	8	3
p_num<=0.279147	5	0.692	9	4
iter21_chase_len_num<=55	5	0.692	9	4
iter21_chase_len_num>=104	5	0.667	5	10
iter21_chase_hits_num>=64	5	0.667	5	10
iter21_chase_len_num<=63	5	0.647	11	6
iter21_chase_len_num>=99	5	0.647	6	11
iter21_chase_hits_num>=60	5	0.647	6	11
iter21_chase_hits_num<=40	5	0.632	12	7
iter21_chase_len_num<=73	5	0.619	13	8
iter21_chase_hits_num<=42	5	0.619	13	8
iter21_chase_kills_num>=17	5	0.619	8	13
iter21_chase_hits_num>=56	5	0.609	9	14
iter21_chase_misses_num<=15	5	0.600	10	15
n_num>=19	5	0.593	11	16
n_num<=18	5	0.576	19	14
iter21_chase_misses_num>=16	5	0.571	20	15
iter21_chase_hits_num<=55	5	0.568	21	16
iter21_chase_len_num>=77	5	0.564	17	22
iter21_chase_hits_num>=43	5	0.564	17	22
iter21_chase_kills_num<=16	5	0.564	22	17
iter21_chase_hits_num>=41	5	0.561	18	23
iter21_chase_len_num>=65	5	0.558	19	24
iter21_chase_len_num<=97	5	0.558	24	19
iter21_chase_hits_num<=59	5	0.558	24	19
iter21_chase_len_num<=101	5	0.556	25	20
iter21_chase_hits_num<=63	5	0.556	25	20
p_num>=0.283772	5	0.553	21	26
iter21_chase_len_num>=57	5	0.553	21	26
iter21_chase_hits_num>=30	5	0.551	22	27
p_num>=0.248493	5	0.549	23	28
iter21_chase_misses_num<=25	5	0.549	28	23
iter21_chase_kills_num<=20	5	0.549	28	23
iter21_chase_kills==16	4	0.833	5	1
p_bucket==p_0.25_0.35	4	0.750	2	6
p_num<=0.244156	4	0.750	6	2
