predicate	sep	loss	win
group==loss	30	30	0
group==win	30	0	30
i21_w20_miss>=3	11	13	24
i21_first_result==MISS	11	9	20
i21_w20_miss<=2	11	17	6
i21_first_result==HIT	10	20	10
i21_w20_miss==3	8	6	14
p>=0.263719	7	21	28
i21_first4_results==MISS,HIT,HIT,HIT	7	5	12
p<=0.26366	7	9	2
turn==3	6	22	28
p>=0.26366	6	22	28
turn<=3	6	22	28
p>=0.279147	6	21	27
i18_w20_miss<=22	6	15	21
i18_w20_miss<=20	6	14	20
i18_w20_chase>=15	6	13	19
i18_w20_hunt<=25	6	13	19
i18_w20_miss>=16	6	19	13
i18_w20_chase<=14	6	17	11
i18_w20_hunt>=30	6	17	11
i18_w20_miss<=14	6	11	17
i18_w20_miss>=22	6	16	10
i18_w20_miss>=24	6	15	9
i21_w20_miss==2	6	11	5
p<=0.263719	6	9	3
turn==5	6	8	2
p<=0.248493	6	8	2
turn>=5	6	8	2
i21_w20_miss>=2	5	24	29
p>=0.248493	5	23	28
i18_w20_chase<=17	5	28	23
i18_w20_hunt>=15	5	28	23
p>=0.283772	5	21	26
i18_w20_miss<=25	5	17	22
i18_w20_chase<=15	5	20	15
i18_w20_hunt>=25	5	20	15
n<=18	5	19	14
i21_w20_chase>=15	5	14	19
i18_w20_miss<=19	5	14	19
i18_w20_miss<=18	5	13	18
i18_w20_miss>=18	5	18	13
i18_w20_miss<=16	5	12	17
i18_w20_miss>=19	5	17	12
n>=19	5	11	16
i21_w20_chase<=14	5	16	11
i18_w20_miss>=20	5	16	11
i18_w20_chase>=16	5	10	15
i18_w20_hunt<=20	5	10	15
i18_w20_miss>=26	5	13	8
p<=0.279147	5	9	4
p<=0.246647	5	7	2
i18_w20_chase>=18	5	2	7
i18_w20_hunt<=10	5	2	7
i21_w20_miss==1	5	6	1
i21_w20_miss<=1	5	6	1
i21_w20_hit<=13	4	29	25
p>=0.246647	4	24	28
i21_w20_miss<=4	4	28	24
n>=17	4	23	27
i21_w20_chase<=17	4	27	23
i21_w20_hit<=12	4	26	22
p>=0.289941	4	21	25
i18_w20_chase<=16	4	24	20
i18_w20_hunt>=20	4	24	20
n>=18	4	19	23
i18_w20_chase>=13	4	19	23
i18_w20_hunt<=35	4	19	23
i18_w20_miss>=12	4	23	19
p>=0.390285	4	18	22
i18_w20_miss>=13	4	22	18
i18_w20_miss<=26	4	18	22
p>=0.420158	4	17	21
i18_w20_chase>=14	4	17	21
i18_w20_hunt<=30	4	17	21
i18_w20_miss<=24	4	17	21
i21_w20_chase<=15	4	19	15
i18_w20_miss>=14	4	19	15
i21_w20_chase>=16	4	11	15
i18_w20_miss<=13	4	11	15
i21_w20_kill==1	4	14	10
i18_w20_kill==1	4	14	10
p<=0.414027	4	13	9
i18_w20_chase<=13	4	13	9
i18_w20_hunt>=35	4	13	9
i18_w20_miss>=25	4	13	9
p<=0.38985	4	12	8
i18_w20_miss<=12	4	8	12
i18_w20_miss>=27	4	12	8
n<=17	4	11	7
i18_w20_chase<=12	4	11	7
i18_w20_hunt>=40	4	11	7
i18_w20_miss<=11	4	7	11
i18_w20_chase>=17	4	6	10
i18_w20_hunt<=15	4	6	10
n==19	4	5	9
p<=0.283772	4	9	5
i21_w20_hit>=13	4	4	8
n<=16	4	7	3
i21_w20_chase>=18	4	3	7
