seed	variant_score	baseline_score	delta_variant_minus_baseline
1952	334.359122270750	156.359122270750	+178.000000000000
3202	294.569698815046	118.569698815046	+176.000000000000
3206	358.543762254282	191.543762254282	+167.000000000000
1457	374.685730598694	215.685730598694	+159.000000000000
4160	279.292302560417	125.292302560417	+154.000000000000
4506	328.931147332330	187.931147332330	+141.000000000000
3712	394.844866297389	267.844866297389	+127.000000000000
1887	226.554103371449	102.554103371449	+124.000000000000
4031	347.531120224227	234.531120224227	+113.000000000000
1788	354.667916697626	243.667916697626	+111.000000000000
4982	230.767372698662	120.767372698662	+110.000000000000
4178	366.982480844753	256.982480844753	+110.000000000000
3756	283.736681490955	174.736681490955	+109.000000000000
1827	211.907401171439	102.907401171439	+109.000000000000
3587	283.219921175436	180.219921175436	+103.000000000000
4216	266.389313012387	166.389313012387	+100.000000000000
3033	271.898277258681	174.898277258681	+97.000000000000
2479	295.415848271195	198.415848271195	+97.000000000000
3685	287.941522578744	192.941522578744	+95.000000000000
1924	253.791700996729	158.791700996729	+95.000000000000
4716	322.085300324372	229.085300324372	+93.000000000000
2951	224.559053477787	132.559053477787	+92.000000000000
2875	269.999705338365	177.999705338365	+92.000000000000
2227	185.895214579104	93.895214579104	+92.000000000000
52	255.332982255788	165.332982255788	+90.000000000000
4260	196.261219945316	110.261219945316	+86.000000000000
2882	299.086707346363	213.086707346363	+86.000000000000
741	323.751096906986	237.751096906986	+86.000000000000
4620	168.731710856350	82.731710856350	+86.000000000000
96	279.092454918480	199.092454918480	+80.000000000000
2134	314.594510041436	234.594510041436	+80.000000000000
3300	326.870607368593	247.870607368593	+79.000000000000
2743	300.215324436670	221.215324436670	+79.000000000000
2264	150.442885118687	72.442885118687	+78.000000000000
3010	184.826412437600	107.826412437600	+77.000000000000
1229	228.265103452931	151.265103452931	+77.000000000000
3914	266.444095090750	190.444095090750	+76.000000000000
1234	270.553753214023	194.553753214023	+76.000000000000
3937	258.165303615362	183.165303615362	+75.000000000000
3913	215.708667373086	140.708667373086	+75.000000000000
2439	251.949531299093	179.949531299093	+72.000000000000
3080	256.801565615876	185.801565615876	+71.000000000000
2363	191.141474271047	120.141474271047	+71.000000000000
1386	149.621992713581	78.621992713581	+71.000000000000
888	181.332890594295	111.332890594295	+70.000000000000
316	240.987264532852	172.987264532852	+68.000000000000
2167	152.668208135370	84.668208135370	+68.000000000000
2246	299.061460095310	232.061460095310	+67.000000000000
3293	259.926056364462	195.926056364462	+64.000000000000
4270	146.430406293010	83.430406293010	+63.000000000000
3565	290.447378401535	228.447378401535	+62.000000000000
1544	233.058340911742	172.058340911742	+61.000000000000
3210	122.062428736962	61.062428736962	+61.000000000000
825	173.869689903157	114.869689903157	+59.000000000000
1604	379.874016012746	322.874016012746	+57.000000000000
2762	126.605937479836	70.605937479836	+56.000000000000
1528	338.114709277228	282.114709277228	+56.000000000000
2111	139.150668235048	84.150668235048	+55.000000000000
60	197.069499785610	142.069499785610	+55.000000000000
2752	312.425113441234	258.425113441234	+54.000000000000
2203	234.817746333105	180.817746333105	+54.000000000000
3509	333.886490359634	280.886490359634	+53.000000000000
1267	228.553877649238	175.553877649238	+53.000000000000
2350	146.628884343994	95.628884343994	+51.000000000000
3250	228.475917611491	177.475917611491	+51.000000000000
905	275.929837005714	224.929837005714	+51.000000000000
1725	280.058758745619	229.058758745619	+51.000000000000
1385	137.605774501015	87.605774501015	+50.000000000000
224	138.364924864014	88.364924864014	+50.000000000000
2128	199.682036053076	150.682036053076	+49.000000000000
1002	196.963480958905	147.963480958905	+49.000000000000
863	249.647061403115	200.647061403115	+49.000000000000
2226	163.987687256748	115.987687256748	+48.000000000000
1854	286.813067685514	238.813067685514	+48.000000000000
43	253.705805075925	205.705805075925	+48.000000000000
4497	182.722720701196	135.722720701196	+47.000000000000
2388	201.762341183248	154.762341183248	+47.000000000000
3793	183.407050521616	137.407050521616	+46.000000000000
4087	240.382171776981	195.382171776981	+45.000000000000
3874	307.650608407313	262.650608407313	+45.000000000000
2546	223.908230469723	178.908230469723	+45.000000000000
1043	187.897710546721	144.897710546721	+43.000000000000
858	188.025885025334	145.025885025334	+43.000000000000
266	163.693098065167	120.693098065167	+43.000000000000
2383	139.477701968987	97.477701968987	+42.000000000000
4912	117.827676858511	75.827676858511	+42.000000000000
1915	267.411527251806	225.411527251806	+42.000000000000
1295	153.408234420000	111.408234420000	+42.000000000000
1248	205.769174734986	163.769174734986	+42.000000000000
1077	170.214351398156	128.214351398156	+42.000000000000
680	158.073694200388	116.073694200388	+42.000000000000
4634	133.470567952146	92.470567952146	+41.000000000000
3957	211.947898244467	170.947898244467	+41.000000000000
1869	309.845584771933	268.845584771933	+41.000000000000
950	216.534496634269	175.534496634269	+41.000000000000
2526	152.881674291039	111.881674291039	+41.000000000000
3714	225.184111956721	185.184111956721	+40.000000000000
2261	100.334017397322	60.334017397322	+40.000000000000
4362	176.454764488993	137.454764488993	+39.000000000000
2819	222.100202263433	183.100202263433	+39.000000000000
2446	294.073157690213	255.073157690213	+39.000000000000
998	244.149741590639	205.149741590639	+39.000000000000
845	177.058720701578	138.058720701578	+39.000000000000
594	234.374357955624	195.374357955624	+39.000000000000
4185	102.791019994162	63.791019994162	+39.000000000000
3581	196.776248595201	158.776248595201	+38.000000000000
2937	167.431447256879	129.431447256879	+38.000000000000
2679	90.400667641336	52.400667641336	+38.000000000000
2144	329.650762612581	291.650762612581	+38.000000000000
2002	125.465846613374	87.465846613374	+38.000000000000
1919	178.786812975231	140.786812975231	+38.000000000000
