group	seed	delta	variant_score	baseline_score	divergence_turn	turn_bucket	variant_mode	baseline_mode	remaining	remaining_bucket	active	variant_cell	baseline_cell	variant_raw	baseline_raw
top_loss	1952	178.0	334.35912227075	156.35912227075	3	early_<=30	CHASE	HUNT		remaining_unknown	0	11,7	10,9	turn=6 mode=CHASE cluster=0 cluster_len=1 cell=11,7 score=100001.550611 chase_score=5146.550611 prob=1.550611	turn=3 mode=HUNT rank=1 cell=10,9 score=3.797272 prob=3.271353 density=1.154639 center=0.019000
top_loss	3202	176.0	294.569698815046	118.569698815046	5	early_<=30	CHASE	HUNT		remaining_unknown	0	3,8	6,12	turn=11 mode=CHASE cluster=0 cluster_len=1 cell=3,8 score=100000.885868 chase_score=5043.885868 prob=0.885868	turn=5 mode=HUNT rank=1 cell=6,12 score=2.595245 prob=1.426059 density=1.809524 center=0.012000
top_loss	3206	167.0	358.543762254282	191.543762254282	5	early_<=30	CHASE	HUNT		remaining_unknown	0	12,9	12,10	turn=6 mode=CHASE cluster=0 cluster_len=1 cell=12,9 score=100001.924344 chase_score=5105.424344 prob=1.924344	turn=5 mode=HUNT rank=1 cell=12,10 score=3.811917 prob=2.580565 density=1.470741 center=0.015000
top_loss	1457	159.0	374.685730598694	215.685730598694	3	early_<=30	CHASE	HUNT		remaining_unknown	0	7,13	9,10	turn=7 mode=CHASE cluster=0 cluster_len=1 cell=7,13 score=100001.254658 chase_score=5116.254658 prob=1.254658	turn=3 mode=HUNT rank=1 cell=9,10 score=2.520858 prob=2.308389 density=1.083333 center=0.019000
top_loss	4160	154.0	279.292302560417	125.292302560417	3	early_<=30	CHASE	HUNT		remaining_unknown	0	5,7	7,9	turn=6 mode=CHASE cluster=0 cluster_len=1 cell=5,7 score=100001.128068 chase_score=5047.128068 prob=1.128068	turn=3 mode=HUNT rank=1 cell=7,9 score=1.610990 prob=1.268726 density=1.257653 center=0.015000
top_loss	4506	141.0	328.93114733233	187.93114733233	5	early_<=30	CHASE	HUNT		remaining_unknown	0	10,7	11,7	turn=6 mode=CHASE cluster=0 cluster_len=1 cell=10,7 score=100001.739662 chase_score=5091.239662 prob=1.739662	turn=5 mode=HUNT rank=1 cell=11,7 score=4.605575 prob=2.601036 density=1.764889 center=0.015000
top_loss	3712	127.0	394.844866297389	267.844866297389	3	early_<=30	CHASE	HUNT		remaining_unknown	0	11,9	10,11	turn=5 mode=CHASE cluster=0 cluster_len=1 cell=11,9 score=100003.040626 chase_score=5170.540626 prob=3.040626	turn=3 mode=HUNT rank=1 cell=10,11 score=3.310792 prob=3.289325 density=1.000000 center=0.018000
top_loss	1887	124.0	226.554103371449	102.554103371449	5	early_<=30	CHASE	HUNT		remaining_unknown	0	8,7	8,6	turn=6 mode=CHASE cluster=0 cluster_len=1 cell=8,7 score=100001.937073 chase_score=5066.937073 prob=1.937073	turn=5 mode=HUNT rank=1 cell=8,6 score=2.933488 prob=2.144037 density=1.360000 center=0.014000
top_loss	4031	113.0	347.531120224227	234.531120224227	3	early_<=30	CHASE	HUNT		remaining_unknown	0	10,11	10,10	turn=5 mode=CHASE cluster=0 cluster_len=1 cell=10,11 score=100001.355204 chase_score=5133.355204 prob=1.355204	turn=3 mode=HUNT rank=1 cell=10,10 score=2.608321 prob=2.588870 density=1.000000 center=0.019000
top_loss	1788	111.0	354.667916697626	243.667916697626	3	early_<=30	CHASE	HUNT		remaining_unknown	0	10,11	11,11	turn=4 mode=CHASE cluster=0 cluster_len=1 cell=10,11 score=100002.940570 chase_score=5153.940570 prob=2.940570	turn=3 mode=HUNT rank=1 cell=11,11 score=3.849917 prob=3.833992 density=1.000000 center=0.015000
