predicate	sep	beam_good	beam_bad
remaining_cells_num>=26	12	3	15
beam_second_num>=0.832888	12	3	15
beam_best_num>=0.832888	12	3	15
chosen_beam_num>=0.813518	12	2	14
beam_entropy_num>=3.60494	12	1	13
heat_second_num>=0.26629	11	6	17
heat_best_num>=0.266484	11	6	17
chosen_heat_num>=0.264458	11	6	17
heat_second_num>=0.294301	11	5	16
heat_best_num>=0.30265	11	5	16
chosen_heat_num>=0.294301	11	5	16
remaining_cells_num>=18	11	4	15
chosen_beam_num>=0.717418	11	4	15
beam_second_num>=0.803331	11	4	15
beam_entropy_num>=3.439	11	4	15
beam_best_num>=0.803331	11	4	15
chosen_beam_num>=0.803331	11	3	14
beam_second_num>=0.973216	11	3	14
beam_best_num>=0.973216	11	3	14
chosen_heat_num>=0.97318	11	2	13
chosen_beam_num>=0.823833	11	2	13
beam_entropy_num>=3.57711	11	2	13
beam_entropy_num>=3.65598	11	1	12
remaining_cells_num<=59	10	8	18
heat_second_num>=0.189973	10	8	18
heat_best_num>=0.193107	10	8	18
chosen_heat_num>=0.189973	10	8	18
beam_second_num>=0.167458	10	8	18
beam_best_num>=0.197009	10	8	18
remaining_cells_num>=9	10	7	17
heat_second_num>=0.230296	10	7	17
heat_best_num>=0.231738	10	7	17
chosen_heat_num>=0.227018	10	7	17
chosen_beam_num>=0.197009	10	7	17
remaining_cells_num>=12	10	6	16
heat_second_num>=0.291063	10	6	16
heat_best_num>=0.299459	10	6	16
chosen_heat_num>=0.285826	10	6	16
chosen_beam_num>=0.298974	10	6	16
beam_second_num>=0.298974	10	6	16
remaining_cells_num>=17	10	5	15
heat_second_num>=0.569069	10	5	15
heat_best_num>=0.572957	10	5	15
chosen_heat_num>=0.569069	10	5	15
chosen_beam_num>=0.409053	10	5	15
beam_second_num>=0.729492	10	5	15
beam_entropy_num>=3.38022	10	5	15
beam_best_num>=0.729492	10	5	15
heat_second_num>=0.665652	10	4	14
heat_best_num>=0.67749	10	4	14
chosen_heat_num>=0.647499	10	4	14
chosen_beam_num>=0.729492	10	4	14
beam_entropy_num>=3.50629	10	4	14
heat_second_num>=0.985846	10	3	13
heat_best_num>=0.994931	10	3	13
chosen_heat_num>=0.95123	10	3	13
beam_second_num>=1.02489	10	3	13
beam_entropy_num>=3.57121	10	3	13
beam_best_num>=1.02489	10	3	13
remaining_cells_num>=29	10	2	12
heat_best_num>=1.00545	10	2	12
chosen_heat_num>=0.985846	10	2	12
chosen_beam_num>=0.973216	10	2	12
remaining_cells_num>=31	10	1	11
beam_entropy_num>=3.67634	10	1	11
remaining_cells_num>=4	9	9	18
remaining_cells_num<=63	9	9	18
n_num>=15	9	9	18
n_num<=20	9	9	18
heat_second_num>=0.0717733	9	9	18
heat_second_num<=3.28984	9	9	18
heat_rank_of_beam_num>=2	9	9	18
heat_rank_of_beam_num<=21	9	9	18
heat_best_num>=0.0723292	9	9	18
heat_best_num<=3.29883	9	9	18
chosen_heat_rank_num>=2	9	9	18
chosen_heat_rank_num<=5	9	9	18
chosen_heat_num>=0.0710631	9	9	18
chosen_heat_num<=3.28984	9	9	18
chosen_beam_rank_num>=1	9	9	18
chosen_beam_rank_num<=39	9	9	18
chosen_beam_num>=0.02061	9	9	18
chosen_beam_num<=2.88577	9	9	18
beam_states_num>=8	9	9	18
beam_states_num<=260	9	9	18
beam_second_num>=0.0787775	9	9	18
beam_second_num<=2.88577	9	9	18
beam_rank_of_heat_num>=15	9	9	18
beam_rank_of_heat_num<=108	9	9	18
beam_entropy_num>=2.19883	9	9	18
beam_entropy_num<=4.2902	9	9	18
beam_best_num>=0.0870698	9	9	18
beam_best_num<=2.88577	9	9	18
remaining_cells_num>=7	9	8	17
remaining_cells_num<=57	9	8	17
n_num>=18	9	8	17
heat_second_num>=0.195678	9	8	17
heat_second_num<=2.06469	9	8	17
heat_best_num>=0.197867	9	8	17
heat_best_num<=2.14923	9	8	17
