seed	iter18_score	iter13_score	delta18minus13	iter18_shots	iter13_shots	iter18_scans	iter13_scans	first_divergence_index	iter18_turn	iter18_cell	iter18_cluster	iter18_active	iter18_remaining	iter18_prev_result	iter13_turn	iter13_cell	iter13_cluster	iter13_active	iter13_remaining	iter13_prev_result	pattern
588	400.956630086491	252.956630086491	+148.000000000000	392	244	2	2	139	141	15,8	Some(0)	1	9	KILL	141	2,18	None	0	9	KILL	iter18_chases_leftover_after_kill_iter13_hunts
853	260.508359305730	144.508359305730	+116.000000000000	246	130	2	2	11	13	6,7	Some(0)	1	64	KILL	13	4,5	None	0	64	KILL	iter18_chases_leftover_after_kill_iter13_hunts
256	283.553769829569	285.728969192127	-2.175199362558	279	276	2	4	18	20	5,2	None	0	70	KILL	22	9,2	None	0	70	KILL	hunt_divergence
835	396.472928827552	388.926647925649	+7.546280901904	390	375	2	4	1	3	9,9	None	0	158		5	10,9	None	0	158		scan_policy_divergence
188	308.863480118052	202.863480118052	+106.000000000000	299	193	2	2	171	173	8,10	Some(0)	1	4	KILL	173	5,4	None	0	4	KILL	iter18_chases_leftover_after_kill_iter13_hunts
865	260.188125214032	159.188125214032	+101.000000000000	252	151	2	2	107	109	1,2	Some(0)	1	8	KILL	109	1,12	None	0	8	KILL	iter18_chases_leftover_after_kill_iter13_hunts
952	394.294240157425	396.390673475730	-2.096433318305	389	385	2	4	1	3	9,9	None	0	173		5	8,10	None	0	173		scan_policy_divergence
967	398.074965113542	307.074965113542	+91.000000000000	387	296	2	2	200	202	18,18	Some(0)	1	4	KILL	202	5,8	None	0	4	KILL	iter18_chases_leftover_after_kill_iter13_hunts
300	298.838728641047	223.838728641047	+75.000000000000	286	211	2	2	46	48	11,14	Some(0)	1	32	KILL	48	12,3	None	0	32	KILL	iter18_chases_leftover_after_kill_iter13_hunts
272	205.252010814079	112.173341981923	+93.078668832157	201	103	2	4	1	3	8,8	None	0	70		5	7,8	None	0	70		scan_policy_divergence
22	164.224669218394	68.340976230820	+95.883692987573	158	55	2	4	13	15	7,1	None	0	19	KILL	17	3,3	None	0	19	KILL	hunt_divergence
